novada_kods,pagasts,pagasta_kods,novada_nosaukums
0010000,Rīga,0010000,Rīga
0050000,Daugavpils,0050000,Daugavpils
0090000,Jelgava,0090000,Jelgava
0110000,Jēkabpils,0110000,Jēkabpils
0130000,Jūrmala,0130000,Jūrmala
0170000,Liepāja,0170000,Liepāja
0210000,Rēzekne,0210000,Rēzekne
0250000,Valmiera,0250000,Valmiera
0270000,Ventspils,0270000,Ventspils
0320200,Aizkraukles novads,0320200,Aizkraukles novads
0320200,Aizkraukles pilsēta,0320201,Aizkraukles novads
0320200,Aizkraukles pagasts,0320244,Aizkraukles novads
0321000,Jaunjelgavas novads,0321000,Jaunjelgavas novads
0321000,Jaunjelgavas pilsēta,0321007,Jaunjelgavas novads
0321000,Jaunjelgavas pagasts,0321027,Jaunjelgavas novads
0321000,Daudzeses pagasts,0321050,Jaunjelgavas novads
0321000,Seces pagasts,0321078,Jaunjelgavas novads
0321000,Sērenes pagasts,0321080,Jaunjelgavas novads
0321000,Staburaga pagasts,0321084,Jaunjelgavas novads
0321000,Sunākstes pagasts,0321086,Jaunjelgavas novads
0321400,Pļaviņu novads,0321400,Pļaviņu novads
0321400,Pļaviņu pilsēta,0321413,Pļaviņu novads
0321400,Aiviekstes pagasts,0321442,Pļaviņu novads
0321400,Klintaines pagasts,0321458,Pļaviņu novads
0321400,Vietalvas pagasts,0321492,Pļaviņu novads
0326100,Kokneses novads,0326100,Kokneses novads
0326100,Bebru pagasts,0326146,Kokneses novads
0326100,Iršu pagasts,0326154,Kokneses novads
0326100,Kokneses pagasts,0326160,Kokneses novads
0327100,Neretas novads,0327100,Neretas novads
0327100,Mazzalves pagasts,0327166,Neretas novads
0327100,Neretas pagasts,0327170,Neretas novads
0327100,Pilskalnes pagasts,0327174,Neretas novads
0327100,Zalves pagasts,0327196,Neretas novads
0328200,Skrīveru novads,0328200,Skrīveru novads
0360200,Alūksnes novads,0360200,Alūksnes novads
0360200,Alūksnes pilsēta,0360201,Alūksnes novads
0360200,Alsviķu pagasts,0360242,Alūksnes novads
0360200,Annas pagasts,0360244,Alūksnes novads
0360200,Ilzenes pagasts,0360252,Alūksnes novads
0360200,Jaunalūksnes pagasts,0360256,Alūksnes novads
0360200,Jaunannas pagasts,0360258,Alūksnes novads
0360200,Jaunlaicenes pagasts,0360260,Alūksnes novads
0360200,Kalncempju pagasts,0360264,Alūksnes novads
0360200,Liepnas pagasts,0360268,Alūksnes novads
0360200,Malienas pagasts,0360272,Alūksnes novads
0360200,Mālupes pagasts,0360274,Alūksnes novads
0360200,Mārkalnes pagasts,0360276,Alūksnes novads
0360200,Pededzes pagasts,0360280,Alūksnes novads
0360200,Veclaicenes pagasts,0360288,Alūksnes novads
0360200,Zeltiņu pagasts,0360294,Alūksnes novads
0360200,Ziemera pagasts,0360296,Alūksnes novads
0360800,Apes novads,0360800,Apes novads
0360800,Apes pilsēta,0360805,Apes novads
0360800,Apes pagasts,0360825,Apes novads
0360800,Gaujienas pagasts,0360848,Apes novads
0360800,Trapenes pagasts,0360884,Apes novads
0360800,Virešu pagasts,0360890,Apes novads
0380200,Balvu novads,0380200,Balvu novads
0380200,Balvu pilsēta,0380201,Balvu novads
0380200,Balvu pagasts,0380246,Balvu novads
0380200,Bērzkalnes pagasts,0380248,Balvu novads
0380200,Bērzpils pagasts,0380250,Balvu novads
0380200,Briežuciema pagasts,0380252,Balvu novads
0380200,Krišjāņu pagasts,0380256,Balvu novads
0380200,Kubulu pagasts,0380258,Balvu novads
0380200,Lazdulejas pagasts,0380266,Balvu novads
0380200,Tilžas pagasts,0380286,Balvu novads
0380200,Vectilžas pagasts,0380290,Balvu novads
0380200,Vīksnas pagasts,0380294,Balvu novads
0381600,Viļakas novads,0381600,Viļakas novads
0381600,Viļakas pilsēta,0381615,Viļakas novads
