km_grid,pagasta_kods
1kmX575Y353,0427372
1kmX576Y353,0427372
1kmX577Y353,0427372
1kmX581Y353,0427372
1kmX581Y352,0427372
1kmX655Y351,0500264
1kmX631Y342,0500284
1kmX643Y341,0500272
1kmX665Y336,0500290
1kmX665Y335,0500290
1kmX666Y340,0500201
1kmX666Y339,0500201
1kmX667Y340,0500201
1kmX667Y339,0500201
1kmX613Y367,0941615
1kmX613Y366,0941615
1kmX613Y365,0941615
1kmX614Y366,0941615
1kmX614Y365,0941615
1kmX615Y366,0941615
1kmX681Y369,0360242
1kmX682Y367,0360242
1kmX683Y367,0360256
1kmX684Y368,0360256
1kmX524Y351,0801433
1kmX524Y344,0801433
1kmX525Y352,0801433
1kmX525Y348,0801433
1kmX525Y347,0801433
1kmX525Y346,0801433
1kmX525Y345,0801433
1kmX574Y352,0420201
1kmX574Y351,0420201
1kmX575Y352,0420201
1kmX575Y351,0420201
1kmX576Y352,0420201
1kmX576Y351,0420201
1kmX577Y352,0420201
1kmX577Y351,0420201
1kmX409Y356,0880292
1kmX426Y352,0880294
1kmX415Y359,0880217
1kmX415Y346,0880268
1kmX415Y345,0880268
1kmX419Y350,0880268
1kmX424Y343,0880270
1kmX410Y343,0880254
1kmX413Y345,0880254
1kmX413Y344,0880254
1kmX414Y346,0880201
1kmX414Y345,0880201
1kmX411Y332,0880272
1kmX415Y342,0880272
1kmX411Y334,0880215
1kmX413Y323,0880242
1kmX542Y337,0806968
1kmX542Y332,0806968
1kmX721Y343,0381678
1kmX722Y343,0381678
1kmX563Y345,0421262
1kmX562Y338,0421262
1kmX562Y337,0421262
1kmX696Y337,0380258
1kmX696Y336,0380258
1kmX697Y336,0380258
1kmX698Y336,0380201
1kmX532Y328,0801864
1kmX533Y328,0801864
1kmX533Y327,0801864
1kmX541Y328,0801864
1kmX532Y327,0801817
1kmX549Y333,0801694
1kmX550Y333,0801694
1kmX551Y333,0801694
1kmX552Y336,0801694
1kmX552Y334,0801694
1kmX553Y335,0801694
1kmX553Y334,0801694
1kmX554Y334,0801694
1kmX551Y335,0801615
1kmX551Y334,0801615
1kmX552Y335,0801615
1kmX551Y324,0801642
1kmX425Y322,0901211
1kmX425Y321,0901211
1kmX426Y322,0901211
1kmX426Y321,0901211
1kmX640Y316,0700827
1kmX647Y320,0700250
1kmX640Y311,0700290
1kmX629Y307,0700242
1kmX626Y297,0700246
1kmX634Y303,0700201
1kmX634Y302,0700201
1kmX635Y304,0700201
1kmX635Y303,0700201
1kmX635Y302,0700201
1kmX636Y300,0700266
1kmX659Y290,0700244
1kmX659Y289,0700244
1kmX620Y284,0700262
1kmX495Y311,0804948
1kmX496Y312,0804948
1kmX497Y313,0804948
1kmX497Y312,0804948
1kmX498Y312,0804948
1kmX500Y313,0804948
1kmX493Y314,0804948
1kmX494Y312,0804948
1kmX494Y311,0804948
1kmX494Y310,0804948
1kmX476Y310,0568786
1kmX481Y309,0568786
1kmX486Y313,0568786
1kmX486Y312,0568786
1kmX487Y314,0568786
1kmX488Y313,0568786
1kmX376Y316,0620284
1kmX377Y316,0620284
1kmX378Y315,0620284
1kmX379Y317,0620284
1kmX373Y315,0620272
1kmX375Y316,0620272
1kmX375Y315,0620201
1kmX376Y315,0620201
1kmX376Y314,0620201
1kmX377Y315,0620201
1kmX376Y310,0620274
1kmX392Y304,0620296
1kmX665Y310,0701458
1kmX665Y309,0701458
1kmX329Y307,0641486
1kmX526Y300,0740625
1kmX529Y299,0740625
1kmX529Y298,0740625
1kmX530Y300,0740625
1kmX530Y299,0740625
1kmX530Y298,0740625
1kmX530Y297,0740625
1kmX531Y299,0740625
1kmX531Y297,0740625
1kmX535Y297,0740625
1kmX536Y298,0740625
1kmX537Y297,0740625
1kmX538Y297,0740625
1kmX539Y297,0740625
1kmX724Y299,0681068
1kmX725Y299,0681068
1kmX515Y302,0801231
1kmX516Y308,0801231
1kmX516Y302,0801231
1kmX517Y301,0801231
1kmX519Y301,0801231
1kmX522Y308,0801231
1kmX523Y308,0801231
1kmX520Y303,0801231
1kmX521Y308,0801231
1kmX514Y298,0801231
1kmX520Y302,0801231
1kmX520Y301,0801231
1kmX520Y300,0801231
1kmX522Y302,0801231
1kmX522Y301,0801231
1kmX523Y301,0801231
1kmX521Y302,0801211
1kmX521Y301,0801211
1kmX599Y307,0705554
1kmX450Y318,0900278
1kmX433Y321,0900274
1kmX444Y310,0900284
1kmX446Y314,0900284
1kmX446Y313,0900284
1kmX446Y312,0900284
1kmX447Y314,0900284
1kmX448Y315,0900284
1kmX448Y314,0900201
1kmX448Y313,0900201
1kmX449Y314,0900201
1kmX449Y313,0900201
1kmX450Y314,0900201
1kmX450Y313,0900201
1kmX450Y312,0900201
1kmX456Y300,0900280
1kmX507Y303,0800807
1kmX508Y304,0800807
1kmX508Y303,0800807
1kmX508Y302,0800807
1kmX509Y304,0800807
1kmX509Y303,0800807
1kmX525Y297,0800856
1kmX439Y287,0905756
1kmX587Y279,0326160
1kmX587Y278,0326160
1kmX588Y279,0326160
1kmX495Y293,0801009
